STATE,B19083_001E,B22008_003E,B22008_002E,STATE_NAME
1,0.9451,1.0539,1.4868,Alabama
2,1.9222,1.6641,2.0094,Alaska
4,1.3615,1.7335,2.1916,Arizona
5,0.4645,0.8043,1.6336,Arkansas
6,1.6659,1.6225,2.6422,California
8,1.794,1.5532,2.9796,Colorado
9,1.9222,1.9969,2.4391,Connecticut
10,2.9313,2.5378,1.9794,Delaware
11,1.794,1.5532,2.7453,District of Columbia
12,3.2516,3.1341,1.844,Florida
13,1.2975,1.262,1.7439,Georgia
15,18.709,16.1975,3.0563,Hawaii
16,0.0,0.4715,1.7091,Idaho
17,0.5126,0.8459,1.7499,Illinois
18,0.7368,1.2897,1.8841,Indiana
19,0.3844,0.4992,1.322,Iowa
20,2.0823,1.9831,2.4283,Kansas
21,1.5858,1.6225,1.7253,Kentucky
22,3.4919,3.7443,1.7751,Louisiana
23,3.1395,2.7181,1.0212,Maine
24,2.3867,2.2743,2.5529,Maryland
25,2.2745,2.4407,2.4127,Massachusetts
26,4.3889,4.5902,1.6234,Michigan
27,0.8329,0.7211,1.8853,Minnesota
28,1.6819,1.886,1.4532,Mississippi
29,0.6888,0.7905,1.7852,Missouri
30,1.1853,1.0262,1.9458,Montana
31,0.897,1.0401,1.9938,Nebraska
32,2.0984,1.8167,1.9453,Nevada
33,1.6338,1.4145,2.8034,New Hampshire
34,1.2814,1.3868,3.0293,New Jersey
35,0.6407,0.5547,1.621,New Mexico
36,3.6201,3.7443,2.0933,New York
37,2.3386,2.3436,1.7936,North Carolina
38,0.0,0.0,2.3096,North Dakota
39,0.7528,1.2204,1.7151,Ohio
40,0.1602,1.0539,1.2777,Oklahoma
41,1.7299,1.6641,1.135,Oregon
42,1.5858,1.9831,1.7133,Pennsylvania
44,2.6269,2.8429,1.8913,Rhode Island
45,2.8992,2.5101,1.9015,South Carolina
46,0.0,0.0,1.4035,South Dakota
47,2.5629,2.4962,1.5329,Tennessee
48,1.762,1.6087,2.0088,Texas
49,1.0892,1.1788,2.7213,Utah
50,0.865,0.7489,1.0421,Vermont
51,3.1075,2.9816,2.825,Virginia
53,1.6498,1.7057,1.8128,Washington
54,0.0,0.5686,0.8666,West Virginia
55,2.0503,2.0663,1.2249,Wisconsin
56,1.2174,1.0539,3.314,Wyoming
